filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,scenario,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
321.mp4,attitude_7039,i have to fix it before maya sees.,the speaker,seen by Maya,a nearby customer,a delivery driver,a background shopper,coworkers,friend,maya,Attitude,NULL,NULL,submissive_alignment,submissive_alignment,Workplace,General Culture,NULL,NULL,Concerned,"[Anchor]
- Text evidence: ""i have to fix it before maya sees."" Tone: urgent/defensive. 
- Visual evidence: store interior with employees wearing name tags; a woman in the foreground moving/gesturing as if intervening; a man in a blue vest (Glenn) looking toward the interaction with a surprised expression. 
- Cross-modal setup: the verbal intent to conceal/repair precedes images of staff reacting in a retail setting.

[Pivot]
- Mechanism: protective_distancing. Trigger rule: the speaker preempts public exposure by promising private correction (withdrawal of disclosure) while the image shows the speaker physically moving away and colleagues watching; sub-logic: Keeping It Open. Minimal justification: urgency in speech plus a retreating action signals guarded avoidance rather than open confrontation.

[Inference]
- Attitude label: Concerned. Subject/target justification: the speaker expresses concern about Maya seeing the issue and acts to prevent it. Domain/Culture provides disambiguation: workplace norms about fixing visible mistakes frame this as protective avoidance, not hostility.",False,False
affection_8647.png,affection_4283,asian drivers test went as expected,poster,Asian drivers,driver,photographer,commenter,local residents,bus passengers,commuting students,Affection,socio_cultural_dependency,NULL,NULL,socio_cultural_dependency,Online & Social Media,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""asian drivers test went as expected"" (literal tone: neutral/negative). - Visual evidence: Asian man seated in a driver's seat looking back with a slight smile; steering wheel and car interior visible; blurred street outside. - Cross-modal setup: The caption generalizes about ""Asian drivers"" while the photo shows a single smiling Asian driver at surface level.

[Pivot]
- Mechanism: socio_cultural_dependency. - Trigger rule: Understanding the post as derogatory depends on shared cultural knowledge of a negative racial stereotype about ""Asian drivers,"" which the text+image invoke. - Minimal justification: Without that cultural code the caption reads descriptive; with it the pairing signals contempt.

[Inference]
- Emotion label: Angry. - Subject/target justification: The poster conveys a hostile/derogatory attitude toward Asian drivers/Asian people. - Domain/Culture usage: General Culture supplies the racist stereotype that disambiguates the implicit contempt.",False,False
289.mp4,attitude_7090,but did any of you listen to me?,the speaker,the people,the man,the woman,the man behind,a recorded announcement,background music,a poster on the wall,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Public & Service,General Culture,NULL,NULL,Disapproving,"[Anchor]
- Text evidence: ""but did any of you listen to me?"" — negative/accusatory tone. 
- Visual evidence: woman faces a small group, arms open in an emphatic gesture, mouth wide as if speaking loudly, other people shown with backs/turned away. 
- Cross-modal setup: the verbal complaint about not being heard matches an image of an expressive speaker confronting people who are not visibly engaged.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: the speaker claims high-ground through an accusatory question and the visuals show others disengaged, creating a dismissal of the others' attention; this uses the Invalidation sub-logic. Minimal justification: the wording asserts the speaker's grievance while the image shows emotional distance, jointly signaling denial of the group's legitimacy as attentive listeners.

[Inference]
- Attitude label: Disapproving. 
- Subject/target justification: the speaker (woman) expresses disapproval toward the surrounding people/customers for not listening. 
- Domain/Culture usage: In a public/service setting this frames non-listening as a breach of expected attention, reinforcing a corrective, disapproving stance.",False,False
affection_3942.png,affection_2213,in my country i am forced to keep my mouth shut. here i'm free to talk trash about this country in hopes it changes into a country where i'm forced to keep my mouth shut,poster,home country,refugee,migrant,passerby,host country,social media,personal history,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""forced to keep my mouth shut"" (negative tone).
- Visual evidence: young woman wearing a headscarf and glasses; smiling directly at the camera; blurred urban street and parked bicycle in background.
- Cross-modal setup: The caption voices political suppression and sarcastic resentment while the photo shows a calm, friendly portrait.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The composed, positive visual contradicts the oppressive, resentful literal text, producing an ironic reading.
- Minimal justification: The pleasant image reframes the complaint as sardonic protest rather than literal silence.

[Inference]
- Emotion label: Angry.
- Subject/target justification: The poster expresses resentment/anger toward their home country's repression.
- Domain/Culture: Domain/Culture provides no additional disambiguation.",False,False
attitude_3193.png,attitude_5168,i'm not sorry,poster,online audience,follower,subscriber,bystander,comment section,platform moderators,content creators,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: The caption explicitly claims withdrawal (""i'm just gon sit here & mind my business"").
- Visual evidence: The image shows a naked, vulnerable figure in a conspicuous public setting, an attention‑drawing scene that contradicts true invisibility.

[Pivot]
- Mechanism: benevolent_provocation. The juxtaposition of a performative promise to stay out with an obviously provocative, exposed image suggests strategic signaling rather than genuine retreat.

[Inference]
- The speaker aims to prompt observers to respond (guilt, attention, intervention) by feigning noninvolvement while remaining conspicuously present.",False,False
279.mp4,intent_8428,"oh, shut up, eric.",woman dismissing him,eric told be quiet,man named eric,male guest behind them,event restaurant staff,other guests present,event raffle activity,she holds box,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Friend Group,General Culture,NULL,dominate,NULL,"[Anchor]
- Text evidence: ""shut up, eric"" — literal tone: negative/abrasive.
- Visual evidence: speaker pointing while holding a box; speaker's face is exaggerated/squinting; two nearby men are smiling and relaxed.
- Cross-modal setup: The words read as a harsh rebuke but the faces and body language show relaxed smiles consistent with banter.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: Contradiction between abrasive speech and playful visual cues indicates a benevolent concealment where mock scolding masks affection.
- Minimal justification: The mismatch implies teasing, not genuine hostility.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The speaker is likely amused and affectionately teasing Eric rather than angry at him.
- Domain/Culture usage: In friend group interactions this kind of mock admonishment commonly functions as playful, face-saving affection.",False,True
477.mp4,attitude_7035,"whoa, whoa, whoa, whoa, whoa. we don't need to do that, okay?",the speaker,coworker,floor supervisor,team lead,meeting facilitator,manager's request,customer suggestion,store policy,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Workplace,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""we don't need to do that"" (neutral/negative tone).
- Visual evidence: speaker (left) raises both hands, palms outward; speaker's mouth is open mid-utterance; nearby colleague (right) is smiling with clasped hands; visible workplace name tags and shelving.
- Cross-modal setup: the verbal halt and the visible calming gesture align at surface level: the speaker is verbally and physically stopping an action.

[Pivot]
- Mechanism: dominant_affiliation.
- Trigger rule: the speaker uses a gentle, controlling negation to assert decision authority while nonverbal palms-out calmness softens the move; this is Benevolent Control. Minimal justification: the wording removes the need for the proposed action and the halting gesture grants authority in a patronizing-but-calm way.

[Inference]
- Attitude label: Dismissive.
- Subject/target justification: the left speaker implicitly positions herself above coworker(s)/the suggested action by stopping it. 
- Domain/Culture usage: in a workplace context this reads as an authoritative, controlling managerial move rather than casual preference.",False,True
532.mp4,attitude_7148,we'll get into this later.,speaker employee blue,coworker current issue,cashier bald man,manager man tie,stock clerk man,store manager,safety spill,sales display,Attitude,NULL,NULL,protective_distancing,protective_distancing,Workplace,General Culture,NULL,NULL,Indifferent,"[Anchor]
- Text evidence: ""we'll get into this later."" (neutral tone).
- Visual evidence: speaker wearing a blue store vest, standing and gesturing with hands; other staff seated or occupied; neutral facial expression and relaxed posture.
- Cross-modal setup: The utterance postpones discussion while the visuals show a physically distanced, calmly gesturing speaker, matching a non‑engaged posture.

[Pivot]
- Mechanism: protective_distancing.
- Trigger rule: The wording explicitly defers commitment and the speaker's neutral, distanced body language withdraws immediate engagement; this matches the sublogic ""Keeping It Open."" Minimal justification: the phrase pauses the issue rather than addressing it now, and the images show no active problem‑solving.

[Inference]
- Attitude label: Indifferent.
- Subject/target justification: The speaker (employee) implicitly withholds immediate attention from the coworker/issue by deferring it. 
- Domain/Culture provides disambiguation: In workplace contexts this phrasing is a routine procedural deferral rather than strong rejection.",False,True
146.mp4,attitude_7008,why do i need to describe this to you?,Dina,the coworker being addressed,store manager,head cashier,floor supervisor,delivery driver outside,passing customer,a store customer nearby,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Workplace,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""why do i need to describe this to you?"" (questioning, negative/challenging tone). 
- Visual evidence: standing woman wearing a name tag and uniform facing a seated colleague; hands gesturing outward; pursed/speaking mouth and forward lean; clipboard held to chest. 
- Cross-modal setup: the spoken question challenges the addressee while the images show a confrontational posture and gesturing.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: the wording asserts that explanation is unnecessary (high-ground) while the speaker's dismissive body language amplifies refusal to validate the other's need; this matches the Invalidation sub-logic. 
- Minimal justification: a rhetorical question plus dismissive posture treats the addressee's request as illegitimate.

[Inference]
- Attitude label: Dismissive. 
- Subject/target justification: Dina (speaker) implicitly dismisses the coworker by questioning why the coworker requires an explanation. 
- Domain/Culture usage: Workplace norms make this a work-related dismissal rather than casual banter.",False,False
385.mp4,attitude_6987,not to call me that in front of people.,the speaker,the listener,a store clerk,a bystander,a shopper,the cashier,the blue basket,the store manager,Attitude,NULL,NULL,protective_distancing,protective_distancing,Workplace,General Culture,NULL,NULL,Concerned,"[Anchor]
- Text evidence: ""not to call me that in front of people."" (negative/protective tone).
- Visual evidence: speaker standing forward with tense facial expression, hand gesture toward other person, another employee watching in background.
- Cross-modal setup: the line requests a public-boundary while the images show a tense, confrontational posture.

[Pivot]
- Mechanism: protective_distancing.
- Trigger rule: the wording withdraws acceptance of the label and asserts a boundary (power-positioning as guarded self-protection), while the visual assertiveness contrasts with the audio hesitancy; this uses the ""Skeptical Distance"" sub-logic. Minimal justification: the speaker both protects her image and withholds acceptance of being labeled publicly.

[Inference]
- Attitude label: Concerned.
- Subject/target justification: the speaker expresses a guarded, protective stance toward the person who used the label in public. Domain/Culture provides disambiguation: in a workplace, public labeling threatens reputation, so the line functions as a protective boundary rather than mere complaint.",False,False
