filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
474.mp4,attitude_1389,"something you'd like to share with the class, turd melon?",teacher mocking student,student publicly mocked,student called on,classmates watching exchange,the school discipline officer,the class discussion,student classroom speaking,school classroom discipline rules,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Education & Campus,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""something you'd like to share with the class, turd melon?"" (negative/derogatory). 
- Visual evidence: adult staff leaning across a desk toward a seated student; stern, focused facial expression; hand gripping/pointing near a divider; visible name badge reading ""DINA."" 
- Cross-modal setup: the insulting phrase is paired with an assertive, close physical stance.
[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The demeaning wording plus the speaker's forward, authoritative posture and gesture projects high-ground dismissal and emotional cutoff; this uses Invalidation as the sub-logic. Minimal justification: verbal insult reinforced by dominating proximity treats the student as unworthy of serious consideration.
[Inference]
- Attitude label: Contemptuous.
- Subject/target justification: The staff member (speaker) expresses contempt toward the student being addressed.
- Domain/Culture usage: In an educational setting the adult/student power asymmetry clarifies this as an authority asserting superiority rather than casual banter.",FALSE,FALSE
intent_11275.png,intent_4522,if i had a gone i could convert this fruit to vegetable,poster making sexual joke,male sexual capability,man chopping vegetables,smiling companion beside him,kitchen scene photographer,two people cooking,vegetables on counter,kitchen cooking utensils,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Intimate Relationships,General Culture,NULL,Dominance Assertion,NULL,"[Anchor]
- Text evidence: The line poses a hypothetical ‘‘if I had…’’ followed by a violent-sounding transformation (""convert this fruit to vegetable""), using ""fruit,"" a term sometimes employed as a derogatory label.
- Visual evidence: The photo shows two men in a close domestic setting, one handling food/utensils and both smiling, creating a contrast between warmth and the hostile caption.
[Pivot]
- Cross-modal setup: The cheerful, intimate image paired with a conditional violent metaphor produces a displaced, indirect aggression rather than literal cooking.
[Inference]
- Mechanism: expressive_aggression. The speaker’s hidden goal is to intimidate or menace the partner through a veiled, joking threat.",FALSE,FALSE
attitude_6320.png,attitude_0255,want to party? yeah i'm down,meme speaker,person with Down syndrome,online troll,event photographer,friend at event,adult volunteer at parade,parade participant with banner,festival attendee holding sign,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Public & Service,General Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""yeah i'm down"" (neutral/positive tone). 
- Visual evidence: person with Down syndrome smiling and raising a hand; group of people in matching shirts and a visible banner; outdoor march/parade setting. 
- Cross-modal setup: the verbal willingness and the visible disability create a surface double meaning linking ""down"" to Down syndrome.

[Pivot]
- Mechanism: dominant_detachment. Trigger rule: the caption's casual phrase is repurposed by pairing it with the image to make the target the butt of a joke, creating superiority through exclusion; this operates via Invalidation (reducing the person's identity to a punchline). Minimal justification: text remains neutral while the image reframes it as derisive, producing a distancing, contemptuous stance.

[Inference]
- Attitude label: Contemptuous. Subject/target justification: the meme speaker uses the cross-modal pun to deride the person with Down syndrome, showing contempt. Domain/Culture provides no additional disambiguation.",FALSE,FALSE
affection_3084.png,affection_1067,when she's mad at you but you want her attention,you,partner,friend,roommate,coworker,female friend,family member,work colleague,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Intimate Relationships,General Culture,Bad,NULL,NULL,"[Anchor]
- Text evidence: ""when she's mad at you but you want her attention"" (literal tone: negative/conflict). 
- Visual evidence: two chimpanzees with faces very close; one has a hand on the other's cheek; lips appear to touch or nuzzle the other's face; black-and-white photograph. 
- Cross-modal setup: the caption describes a partner being angry while the image shows intimate, affectionate contact.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the negative situation in text conflicts with the affectionate image, forcing a non-literal, playful reading where the shown closeness negates pure anger.
- Minimal justification: the affectionate gesture reframes the caption as a teasing attempt to regain closeness.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the speaker/""you"" is positioned as seeking affectionate attention from the partner.
- Domain/Culture usage: Domain clarifies a romantic/partner context so the image-text conflict is read as playful, affiliative teasing.",FALSE,FALSE
intent_5951.png,intent_1701,i heard you need a new partner,woman in suit,woman's partner,woman holding handgun,man in blazer,uniformed security guard,project manager,team leader,department head,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Workplace,General Culture,NULL,Intimidation,NULL,"[Anchor]
- Text evidence: The line ""i heard you need a new partner"" sounds like an innocuous offer or helpful remark.
- Visual evidence: The speaker is a professional-looking woman pointing a handgun directly at the viewer with a stern expression, a clear display of threat.

[Pivot]
- Cross-modal mismatch: Polite phrasing paired with an overt weapon creates a coercive message rather than assistance; the violence reframes the utterance as domination.
- Mechanism: expressive_aggression fits because the speaker uses indirect/veiled aggression to assert power without explicit verbal threat.

[Inference]
- The implicit intent is to intimidate or coerce the recipient into compliance or to force a change regarding a partner decision.",FALSE,FALSE
affection_7424.png,affection_3000,more men with guns were sent to arrest 66 year old roger stone than clinton and obama sent to rescue our men in benghazi,poster,Clinton and Obama,protester,supporter,bystander,the State Department,the military leadership,the intelligence community,Affection,socio_cultural_dependency,NULL,NULL,socio_cultural_dependency,Online & Social Media,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""more men with guns were sent"" (negative/accusatory tone). 
- Visual evidence: an older man with arms raised, a uniformed officer with a POLICE/DHS badge visible, and surrounding men with serious expressions. 
- Cross-modal setup: The caption alleges unequal government action while the photo depicts an arrest scene.

[Pivot]
- Mechanism: socio_cultural_dependency.
- Trigger rule: Interpreting the complaint as partisan outrage depends on knowing the Benghazi controversy and Roger Stone's arrest; text+image together invoke that political background. 
- Minimal justification: Without that cultural frame it reads as a simple comparison; with it the post functions as a political indictment.

[Inference]
- Emotion label: Angry.
- Subject/target justification: The poster is expressing blame and indignation directed at Clinton and Obama. 
- Domain/Culture usage: Online & Social Media posting leverages shared General Culture knowledge (Benghazi/Stone) to signal partisan anger.",FALSE,FALSE
affection_6456.png,affection_3736,"""she said ""i want a ring"" i said ""bitch take your phone off silent! """,speaker,the woman,friend,passerby,bystander,the witness,the neighbor,the police officer,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Intimate Relationships,General Culture,Happy,NULL,NULL,"[Anchor]
- Text evidence: ""i want a ring"" (positive literal tone). 
- Visual evidence: two young men laughing, visible smiles, casual jackets, outdoor urban background. 
- Cross-modal setup: the caption uses a pun on ""ring"" while the image shows amused companions reacting to the joke.

[Pivot]
- Mechanism: figurative_semantics.
- Trigger rule: the word ""ring"" is mapped from engagement-jewelry to phone ringtone (conceptual metaphor/pun) and the image's laughter supports a playful, nonliteral reading.
- Minimal justification: The verbal ambiguity combined with visible amusement reframes the utterance as teasing humor rather than a literal proposal response.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the speaker expresses playful amusement directed at the woman's request by jokingly treating it as a phone issue.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",FALSE,FALSE
468.mp4,attitude_0734,"you're gorgeous really, for your cohort.",condescending male compliment,female customer compared cohort,middle aged female customer,female employee walking past,other shoppers in store,male employee age group,all store customers,the store employee team,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Public & Service,General Culture,NULL,NULL,Appreciative,"[Anchor]
- Text evidence: ""you're gorgeous really, for your cohort."" (literal tone: positive). 
- Visual evidence: man in green shirt leaning forward and gesturing toward seated older woman; woman sits with hands down looking slightly downcast; retail/cafe setting with staff in matching green shirts. 
- Cross-modal setup: the spoken praise is positive on its face but includes a comparative qualifier while visuals show a power-differentiated interaction.

[Pivot]
- Mechanism: dominant_affiliation.
- Trigger rule: the qualifier ""for your cohort"" frames praise as conditional and condescending, asserting the speaker's evaluative high ground and lowering the target's standard; this is Patronizing Praise. Minimal justification: the wording grants warmth while subtly positioning the speaker as superior.

[Inference]
- Attitude label: Dismissive. 
- Subject/target justification: the speaker implicitly dismisses the woman's standing by giving a qualified compliment to the woman. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
attitude_7428.png,attitude_4692,that look when you wanna cut a bitch but you're a better person than that,meme poster,provoking person,reaction account,clickbait author,social media strategist,online audience,celebrity subject,viral clip,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Online & Social Media,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""you're a better person than that"" (positive/praising).  
- Visual evidence: seated person with a composed, restrained facial expression; wearing a dark outfit on a staged/interview set.  
- Cross-modal setup: the caption pairs an expressed violent impulse with an explicit claim of moral restraint while the image shows calm containment at surface level.

[Pivot]
- Mechanism: dominant_affiliation.  
- Trigger rule: The wording grants moral superiority (""you're a better person than that"") while the image shows an above-it, composed demeanor; this functions as Patronizing Praise, using praise of restraint to assert superiority and downplay the provoker. Minimal justification: praise plus composed image frames the speaker/reader as morally elevated over the target.

[Inference]
- Attitude label: Dismissive.  
- Subject/target justification: The meme poster positions themselves/the addressee above the provoking person by praising restraint, implying the provoker is beneath consideration.  
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
attitude_7284.png,attitude_2542,see? i fuckin told you! a little foil on top keeps them jewsy,post author,Jewish people,cook making soup,kitchen assistant plating dish,food photographer taking picture,dumplings in pot,foil covered cooking,people of Israeli nationality,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,Jewish Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""foil on top keeps them jewsy"" (negative tone). 
- Visual evidence: bowl of matzo-ball-like dumplings in broth; metal spoon at the rim; white top-and-bottom meme caption overlaid on the photo. 
- Cross-modal setup: the caption uses a slur while the photo shows stereotypically Jewish food, linking the insult directly to the pictured items.

[Pivot]
- Mechanism: dominant_detachment. Trigger rule: the profanity and slur assert a high-ground, dismissive stance while the image reduces people to food, enacting dehumanizing Character Blaming. This cross-modal demeaning activates contempt rather than mere criticism.

[Inference]
- Attitude label: Contemptuous. The post author expresses contempt toward Jewish people. The online meme format and the explicit reference to Jewish culture make the antisemitic, derogatory intent clear.",FALSE,FALSE
