filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
attitude_5561.png,attitude_1969,thanks trump for my new job making america white again,post author,non-white americans,white supremacist,republican supporter,online troll,immigrant communities,black americans,hispanic americans,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Online & Social Media,General Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""thanks trump for my new job"" (positive tone).
- Visual evidence: smiling white family (adult man, woman, child); outdoor farmland setting; visible crate/produce.
- Cross-modal setup: The caption thanks a political leader for ""making america white again"" while the image depicts a content white family, aligning whiteness with reward and normalcy.

[Pivot]
- Mechanism: dominant_affiliation.
- Trigger rule: The wording expresses gratitude to a leader (power-positioning) and the warm family photo normalizes whiteness as a desirable outcome, functioning as Patronizing Praise. The pairing uses friendliness and gratitude to legitimate a superior position for one group.

[Inference]
- Attitude label: Contemptuous.
- Subject/target justification: The post author praises the leader while implying non-white Americans are to be displaced, expressing superiority toward that outgroup.
- Domain/Culture provides no additional disambiguation.",False,False
1_11177.mp4,attitude_1602,I'm listening to you snore. I'm wondering how I'll ever sleep without it.,speaker person sitting,sleeping partner snoring,friend person wearing,roommate sitting chair,bedside lamp nightstand,dog barking outside,television making steady,ceiling fan running,Attitude,NULL,NULL,submissive_alignment,submissive_alignment,Intimate Relationships,General Culture,NULL,NULL,Dismissive,"[Anchor] Text evidence: ""I'm wondering how I'll ever sleep"" (tone: positive/playful). Visual evidence: person seated on a bed wearing pajamas/robe; another person lying down with eyes closed; dimly lit bedroom with bedside lamp; speaker leans toward the sleeper in the last frame. Cross-modal setup: the verbal tease reframes snoring as comforting while the images show an intimate nighttime setting beside a sleeping partner. [Pivot] Mechanism: submissive_alignment. Trigger rule: the wording expresses dependence and playful reliance while the image shows the speaker beside the sleeper, producing a self-lowering, dependent stance; sub-logic used: Leaning on. Minimal justification: the speaker frames the nuisance as a needed comfort, inviting closeness rather than asserting control. [Inference] Attitude label: Appreciative. The speaker (subject) expresses affectionate reliance toward the sleeping partner (target). Domain/Culture clarifies this as intimate, joking closeness typical in romantic/private relationships.",False,False
intent_6761.png,intent_2239,when you're going 90 mph in a school zone and the pre-schoolers are crossing the street this is where the fun begins,meme poster driver,preschoolers children,social media content,vehicle mechanic,social event coordinator,crossing guards,traffic cameras,other motorists,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Public & Service,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text: Explicitly frames driving 90 mph in a school zone while preschoolers cross as ""where the fun begins,"" normalizing danger. Visual: a smirking young man in the photo conveys amusement and glee. 
[Pivot]
- Cross-modal reading: The cheerful facial expression combined with a caption about endangering children produces a surface joke that masks an endorsement of harm; humor is used to displace direct hostility. 
[Inference]
- The meme's pragmatic goal is to glorify or provoke violent harm against a vulnerable group and to shock or intimidate viewers.",False,False
1_1560.mp4,intent_1522,How nice. Maybe they can carpool when they visit you in federal prison.,speaker,addressee person insulted,bystander,audience member,roommate,opinion,chair,recent argument,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Friend Group,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: ""Maybe they can carpool when they visit you in federal prison."" (negative sarcastic tone).
- Visual evidence: speaker standing in a doorway, composed posture, mouth forming a tight/smug line, eyes directed at an interlocutor.
- Cross-modal setup: the verbally hostile line is delivered calmly and directly.

[Pivot]
- Mechanism: expressive_aggression.
- Trigger rule: the contradiction between biting sarcastic content and a controlled, nonchalant delivery reveals masked hostility used to demean. Minimal justification: sarcasm plus composed demeanour serves to vent and assert dominance.

[Inference]
- Emotion label: Disgusted.
- Subject/target justification: the speaker expresses disgust toward the addressee by mocking their fate to shame them. 
- Domain/Culture usage: In Friends & Peers contexts this kind of sarcastic insult commonly functions to belittle and assert social dominance.",False,False
affection_5232.png,affection_1222,if your happy and you know it clap your hands.,poster,woman photo,avatar,thumbnail,photographer,white bold meme,traditional wooden house,cluster banana trees,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Sad,NULL,NULL,"[Anchor]
- Text evidence: ""if your happy and you know it"" (positive tone).
- Visual evidence: A woman wearing a hijab and patterned dress standing in front of a wooden house; both hands/forearms appear absent; dirt yard and empty space around her.
- Cross-modal setup: The cheerful instruction to ""clap your hands"" sits over an image where the person cannot physically clap.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The upbeat lyric demands an action that the visual subject cannot perform, creating ironic negation of the text.
- Minimal justification: The contradiction forces a non-literal, pitying reading rather than a literal call to action.

[Inference]
- Emotion label: Sad.
- Subject/target justification: The poster implicitly evokes sympathy for the woman and her missing hands by pairing the joyful lyric with her image.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
intent_10148.png,intent_6690,a muslim walks into a gay bar. bartender: what will it be? muslim: free shots for everyone!,meme author speaker,gay patrons,armed soldier,bar employee,photo subject,bar employees,religious leaders,armed militants,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Public & Service,General Culture,NULL,Intimidation,NULL,"[Anchor]
- Text evidence: The joke's punchline ""free shots for everyone"" uses a pun that implies mass shooting rather than drinks. Visual evidence: the image shows an armed, bloodied figure clutching a Qur'an, linking a religious identity with weaponized violence. Cross-modal mismatch: a lighthearted setup paired with explicit violent imagery and an implied threat. 
[Pivot]
- Mechanism: expressive_aggression. The humor functions as an indirect threat and dehumanizing attack on a marginalized group, avoiding explicit statement while signaling violence. 
[Inference]
- The hidden goal is to normalize and encourage violence toward gay patrons; the meme author/speaker targets gay people by veiling a threat as a joke.",False,False
affection_4627.png,affection_0594,my dad is the best at hide and seek he's been gone for 15 years,poster,black people,child,friend,parent,young boys,other children,family,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Family Conversations,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""my dad is the best at hide and seek"" (positive tone). 
- Visual evidence: a young boy sitting on the floor; neutral/serious facial expression; living-room curtains and a couch visible. 
- Cross-modal setup: The caption's playful praise is immediately undercut by an explicit note of long absence while the image shows a solemn child, creating a surface mismatch.

[Pivot]
- Mechanism: multimodal_incongruity
- Trigger rule: The joking compliment is contradicted by the admission of a 15-year absence and the somber photo, forcing an ironic, non-literal reading. 
- Minimal justification: The modalities negate each other, so humor masks a message of loss.

[Inference]
- Emotion label: Sad
- Subject/target justification: The speaker (poster) is expressing grief about their father's prolonged absence.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
affection_9030.png,affection_1330,when you dodge your mom's slap your moves are weak mom,poster,poster,son,neighbor,friend,mother,bystander,audience,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Family Conversations,General Culture,Happy,NULL,NULL,"[Anchor]
- Text evidence: ""when you dodge your mom's slap"" (negative/mocking tone). 
- Visual evidence: a man in a yellow cap and gray tank top making an exaggerated, goofy facial expression; visible uneven/missing teeth; studio-style brown backdrop. 
- Cross-modal setup: the caption reads like an insult about ""weak moves,"" while the photo is absurd and non-threatening.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the confrontational wording is cancelled by the comedic, unserious image, reframing the line as joking teasing.
- Minimal justification: the visual absurdity prevents a literal hostile reading and signals playful mockery.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the poster expresses playful amusement/teasing toward their mom or the slap situation.
- Domain/Culture provides no additional disambiguation.",False,False
2_413.mp4,intent_1907,Some guy bought it. I'm sorry. I tired to stop it but they put me in jail!,speaker woman blue,listener man red,shop owner woman,store employee female,accused female detainee,delivery driver courier,delivery driver maintenance,arresting officer legal,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Public & Service,General Culture,NULL,Moral Condemnation,NULL,"[Anchor]
- Text evidence: ""I'm sorry. I tired to stop it"" (apologetic/negative). 
- Visual evidence: woman facing another person, open mouth mid-speech, hand holding a small object, arm extended toward the listener. 
- Cross-modal setup: The verbal apology is paired with defensive, agitated body language that contradicts a simple remorse statement.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: The mismatch between apologetic words and defensive/blaming gestures indicates the claim is aimed at protecting reputation and deflecting responsibility. Minimal justification: the speaker verbally apologizes while physically shifting blame.

[Inference]
- Emotion label: Angry.
- Subject/target justification: The speaker appears angry at others/authorities and simultaneously shifts blame to avoid personal fault. 
- Domain/Culture provides no additional disambiguation.",False,False
526.mp4,attitude_0708,"our people are struggling, amy.",glenn speaker,amy,mark store supervisor,diane event volunteer,paul community organizer,janet,megan,leslie,Affection,socio_cultural_dependency,NULL,NULL,socio_cultural_dependency,Workplace,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""our people are struggling, amy."" — literal tone: negative/concerned. 
- Visual evidence: man wearing a green ""Zephra cares"" T-shirt and a ""GLENN"" name tag; facing an off-camera person; open mouth mid-speech and forward hand gesture. 
- Cross-modal setup: verbal plea and corporate-care branding align to present a public appeal about staff welfare.

[Pivot]
- Mechanism: socio_cultural_dependency. Trigger rule: the speaker invokes collective responsibility with ""our people"" while visually displaying corporate ""cares"" branding, pressing Amy to respond; this uses group-duty framing and benevolent control as the sub-logic. Minimal justification: wording plus branded appearance create an implicit duty-based appeal rather than a factual report.

[Inference]
- Attitude label: Sad. 
- Subject/target justification: Glenn (speaker) expresses concern toward Amy about the welfare of ""our people."" 
- Domain/Culture provides no additional disambiguation.",False,False
