filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
293.mp4,attitude_0799,"dina, you can't just text me something like that.",the speaker,Dina,Dina,customer,assistant manager, Sarah,customer, Laura,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Workplace,General Culture,NULL,NULL,Disapproving,"[Anchor]
- Text evidence: ""you can't just text me something like that."" (negative literal tone).
- Visual evidence: woman wearing a name tag reading ""BERN"" leaning forward; raised/pointing hand gesture; tense, compressed facial expression; another person in a blue polo seen from the back.
- Cross-modal setup: the corrective sentence is delivered while the woman physically confronts the person in blue, aligning speech and posture at surface level.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: the phrasing asserts a prohibition and delegitimizes the target's action (power-positioning through control), and the images show forward-leaning, pointed gestures and a stern face that amplify dismissive invalidation; sub-logic used: Invalidation. Minimal justification: the verbal prohibition plus dominant nonverbal cues jointly treat the text as inappropriate and not worthy of acceptance.

[Inference]
- Attitude label: Disapproving.
- Subject/target justification: the speaker (Bern) implicitly evaluates Dina's communication as inappropriate and unacceptable.
- Domain/Culture usage: in a workplace context this reads as managerial correction, which reinforces the disapproving interpretation.",False,False
386.mp4,affection_0670,"listen, i'm-i'm really sorry.",female security guard,man ,female store manager,female retail cashier,female maintenance worker,male customer,store manager,male coworker,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Workplace,General Culture,Happy,NULL,NULL,"[Anchor]
- Text evidence: ""i'm-i'm really sorry."" (literal tone: apologetic/negative). 
- Visual evidence: woman tilting her head back with an open-mouthed smile/laugh; relaxed hand on desk; man standing looking down with a neutral expression. 
- Cross-modal setup: the spoken apology contrasts with the listener's amused, relaxed reaction.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the negative/contrite utterance conflicts with positive nonverbal cues, causing the apology to be reinterpreted as playful/affiliative rather than serious. 
- Minimal justification: the mismatch reframes the exchange as forgiving/amused.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the woman appears amused and forgiving toward the apologizing man.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
affection_0163.jpg,affection_0250,"i dunno about you , but i ’ m sure gonna miss the northam / gillespie tv spots . this is our last weekend to “ enjoy ” ‘ em .",poster,Gillespie TV spots,politician,viewer,advertiser,candidate ,press conference,politician,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Public & Service,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: quote ""this is our last weekend to “ enjoy ” ‘ em ."" (literal tone: positive/enthusiastic). 
- Visual evidence: a portrait-style frame of a man with overlaid headline ""Ed Gillespie Made Millions"", subtext ""Selling Out To The Highest Bidder"", and a dark desaturated video-ad background with playback bar. 
- Cross-modal setup: at surface the caption feigns enjoyment while the image is an explicitly negative political attack ad.

[Pivot]
- Mechanism: multimodal_incongruity
- Trigger rule: the superficially positive caption conflicts with a hostile visual message, producing ironic/sarcastic reading; the modalities cancel a literal positive reading. 
- Minimal justification: The quoted ""enjoy"" must be read non-literally because the image directly criticizes Gillespie.

[Inference]
- Emotion label: Angry
- Subject/target justification: The poster expresses irritation/bitterness toward the Northam/Gillespie TV spots (the ads themselves). 
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
attitude_5182.png,attitude_2836,your rights end where my feelings begin,protester,Individuals holding differing views,bystander,journalist,officer,law enforcement officers,coordinators ,media personnel recording,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Public & Service,General Culture,NULL,NULL,Disapproving,"[Anchor]
- Text evidence: ""your rights end where my feelings begin"" (negative). 
- Visual evidence: young woman centered facing camera and speaking; blurred crowd of protesters holding signs; outdoor street protest setting. 
- Cross-modal setup: The declarative slogan is overlaid on a protest image, pairing a personal moral claim with an activist speaker.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: The wording claims the speaker's feelings override others' legal claims (power-positioning via wording) while the image shows an assertive protester acting as spokesperson; together they treat opposing rights as illegitimate. Sub-logic used: Invalidation.

[Inference]
- Attitude label: Dismissive.
- Subject/target justification: The speaker (the protester) expresses dismissiveness toward people asserting their rights. Domain/Culture provides no additional disambiguation.",False,False
attitude_8420.png,attitude_5343,i like to hit on women with black kids because i can guarantee they're single,text author,women with black kids,pickup artist,internet troll,forum moderator,women with young children,single women at bars,childless women of color,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Intimate Relationships,General Culture,NULL,NULL,Hostile,"[Anchor]
- Text evidence: ""i like to hit on women with black kids"" (negative tone). 
- Visual evidence: an adult woman smiling while a child rides on her back and covers her eyes; outdoor park/water background; close, playful pose. 
- Cross-modal setup: the text sexualizes and stereotypes a group while the image shows a tender caregiver-child moment. 

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: The wording asserts entitlement and a sweeping stereotype (power-positioning via wording) and dismisses these women's relationships as irrelevant; this high-ground generalization conflicts with the affectionate image and functions as Character Blaming. Minimal justification: the speaker's claim treats the group as disposable sexual targets rather than persons. 

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: The text author expresses contempt toward women with Black children by assuming and exploiting their alleged singlehood. 
- Domain/Culture usage: Domain (intimate relationships) frames this as predatory sexualization; Culture provides no additional disambiguation.",False,False
intent_3784.png,intent_3870,i'm not any different,person in wheelchair,public ,parent with stroller,elderly bus passenger,service animal handler,transportation users and commuters,store customers and shoppers,private healthcare insurers ,Intent,NULL,benevolent_provocation,NULL,benevolent_provocation,Public & Service,General Culture,NULL,Conflict Mitigation,NULL,"[Anchor]
- Text evidence: The caption ""i'm not any different"" asserts sameness.
- Visual evidence: The photo clearly shows a smiling person in a wheelchair being pushed by a caregiver, making physical difference visually salient.
[Pivot]
- Cross-modal setup: The literal denial clashes with the visible disability and reads as a strategic understatement; this contrast functions as a provocation to make observers confront their assumptions rather than a factual claim.
[Inference]
- Intent: The speaker aims to prompt equal treatment and inclusion from the public and service providers.",False,False
intent_10507.png,intent_1707,there are the apes that i helped to save,meme creator,person in photo,internet user,social troll,online comedian,female speech event participant,wildlife field worker,news anchor,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,American Culture,NULL,Hate Humor,NULL,"[Anchor]
- Text evidence: The caption ""there are the apes that i helped to save"" is paired with two images; Visual evidence: a photo of apes sits above a photo of a woman looking down. The text and image juxtaposition links the human subject to apes.
[Pivot]
- Mechanism: expressive_aggression. The multimodal pairing functions as an indirect public insult that displaces criticism through demeaning imagery rather than explicit argument.
[Inference]
- The poster’s goal is to publicly demean and strip the target of human dignity by equating them with animals, provoking humiliation.",False,False
attitude_3142.png,attitude_2559,i got some down bitches i can call,poster,People with Down syndrome,photo subject,photo editor,event organizer,young adults,romantic partners,siblings,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""i got some down bitches"" (negative tone). 
- Visual evidence: two smiling adults facing the camera; a man in the foreground appearing to take a selfie; a blurred indoor bedroom/living space behind them. 
- Cross-modal setup: the caption uses demeaning ownership language while the image shows casual, smiling individuals at home.

[Pivot]
- Mechanism: dominant_detachment. Trigger rule: the wording asserts superiority and objectification through derogatory ownership language while the photo shows ordinary people, creating a dismissive, dehumanizing posture; sub-logic used: Invalidation. Minimal justification: the speaker's phrasing voids the subjects' dignity despite the benign visual.

[Inference]
- Attitude label: Contemptuous. Subject/target justification: the poster expresses contempt toward the people in the photo by treating them as disposable objects to ""call."" Domain/Culture usage: as an online meme this framing amplifies performative insult typical of social-media mockery.",False,False
attitude_4111.png,attitude_3283,i'm not a racist my shadow is black,poster,Black people,billboard,invitation,flag,white people,young adults,Asian people,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""i'm not a racist my shadow is black"" (literal tone: neutral/defensive). 
- Visual evidence: smiling man, both thumbs-up, casual t-shirt, plain white background. 
- Cross-modal setup: text denies racism via a joking premise while the image shows a friendly, nonchalant pose. 

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: The denial is phrased as a joke that dismisses racial concern (Invalidation), and the upbeat photo+dismissive text create intellectual/high-ground distance toward the accused issue. Minimal justification: the poster uses humor to invalidate anti-racist critique. 

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: The poster (speaker) expresses contempt toward Black people by trivializing race with a dismissive joke. 
- Domain/Culture usage: Online meme culture permits provocative denial-as-humor, which reinforces the dismissive, contemptuous stance.",False,False
intent_4871.png,intent_3344,when your dad passes the family school shooting gun down to you,meme poster,gun-owner,satirical cartoonist,internet troll,humor columnist,firearm instructors,school administrators,veteran relatives,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Family Conversations,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- The caption frames a horrific topic (""family school shooting gun"") in a casual meme template (""when your..."") while the photo shows uniformed officers with visible holsters, juxtaposing humor with armed authority. The surface joke clashes with the grave subject of shootings.
[Pivot]
- Mechanism: expressive_aggression. The creator uses dark, displaced humor to vent and criticize: the joking form displaces a direct condemnation and implicitly attacks the normalization of guns within families.
[Inference]
- Intent: to condemn the generational transmission of violent gun culture and shame that legacy.",False,False
