filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
intent_9535.png,intent_1856,i'm not racist ... some of my best ffriends are brown,speaker,accusers,politician,influencer,poster,voters,followers,commenters,Intent,NULL,prosocial_deception,NULL,prosocial_deception,Online & Social Media,General Culture,,Conflict Mitigation,,"[Anchor]
- Text evidence: The caption uses the familiar tokenist defense ""i'm not racist... some of my best fffriends are brown,"" a cliché minimizer of prejudice. Visual evidence: a smiling, smug-looking man whose grin reads performative reassurance rather than sincere rebuttal.
[Pivot]
- Mechanism: prosocial_deception. The speaker offers a superficial, flattering anecdote to mask hostile or problematic views and to avoid social sanction. Cross-modal cues (canned grin plus token claim) indicate image and text together perform reputation management.
[Inference]
- Intent label: save face. The speaker aims to neutralize criticism and preserve social standing by deflecting accusations.",False,False
attitude_4378.png,attitude_2984,"men are like dogs, we are excited to see you and have no idea why you are mad",men,female partner,dogs,children,friends,dog owner,female friend,mother figure,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Intimate Relationships,General Culture,,NULL,Dismissive,"[Anchor]
- Text evidence: ""we are excited to see you"" (positive tone). 
- Visual evidence: brown-and-white dog tilting its head; grass lawn background; a collar visible on the dog. 
- Cross-modal setup: The caption compares men to dogs while the photo shows an innocent, eager-looking dog, creating a playful literal match at surface level.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: The wording frames the addressee's anger as inexplicable and thus illegitimate, asserting a high-ground dismissal of her feelings; the cute dog image softens but reinforces the claim of innocence. (Invalidation).

[Inference]
- Attitude label: Dismissive. 
- Subject/target justification: The speaker (men) dismisses the partner's anger as unwarranted. 
- Domain/Culture provides no additional disambiguation.",False,False
intent_0189.jpg,intent_0357,when the exam is easy a . f,student,peer,overachiever,teaching assistant,faculty advisor,rival,grader,parent,Intent,NULL,benevolent_provocation,NULL,benevolent_provocation,Education & Campus,General Culture,,Dominance Assertion,,"[Anchor] The caption ""when someone asks how was today's exam"" plus the image of a person labeled ME casually tossing items labeled QTS.1 QTS.2 7M 3M 4M signals a boastful reply. Visually the subject is flippant and abundant with 'points' as if discarding them. [Pivot] Mechanism: expressive_aggression — the poster uses a humorous, indirect boast to establish superiority without a direct statement; the visual gag displaces a straightforward answer into a dominance display. [Inference] Intent: show off — the student aims to impress or assert dominance over peers by implying the exam was effortlessly easy and their success is trivial.",False,False
intent_10380.png,intent_4590,companies when pride month ends:,meme poster,companies,social commentator,internet troll,political activist,logos,ads,campaigns,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,,Meme-based Mockery,,"[Anchor]
- Text evidence: The caption ""companies when pride month ends:"" frames the image as commentary. Visual evidence: A sanitation worker throwing a bag into a garbage truck visually equates something valuable with trash. Cross-modal reading: The juxtaposition implies corporate support is disposable and insincere.

[Pivot]
- Mechanism: expressive_aggression. The creator deploys sarcasm and ridicule rather than a direct policy critique, using humor to vent and publicly shame corporations for perceived opportunism.

[Inference]
- Intent: to call out hypocrisy and shame companies for performative, short-lived allyship.",False,False
1_3256.mp4,intent_1541,"I'm sorry, fiddling with yourself in the bathtub is a real class act.",the speaker (person in bathtub),the listener / partner,the neighbor outside the bathroom window,the person in the doorway,the photographer (camera operator),the wine glass,the houseplant,the phone on the counter,Intent,NULL,prosocial_deception,NULL,prosocial_deception,Intimate Relationships,General Culture,,Conflict Mitigation,,"[Anchor]
- Text evidence: ""fiddling with yourself in the bathtub"" (negative tone).
- Visual evidence: woman in a bubble bath holding a wine glass; smiling and making eye contact with an off-screen person; intimate bathroom setting.
- Cross-modal setup: The spoken line is derisive while the visual nonverbal cues are warm and playful.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: Verbal mockery contradicts flirtatious nonverbal behavior, indicating the insult masks a benign, relationship-preserving motive.
- Minimal justification: The contrast suggests teasing meant to maintain closeness rather than to harm.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The speaker likely feels playful affection toward the listener/partner.
- Domain/Culture usage: In intimate relationships playful teasing commonly signals affection, supporting this reading.",False,False
intent_5633.png,intent_4239,how we see muslims how muslims see us,meme creator,both groups,online troll,social media influencer,news outlet,Muslim viewers,Western audience,non-Muslims,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,Arab Culture,,Hate Humor,,"[Anchor]
- Text evidence: The meme repeats opposing captions ""how we see muslims"" and ""how muslims see us."" Visual evidence: a single photo of three Arab men smiling and looking at a tablet is used for both lines.
[Pivot]
- Cross-modal mismatch: Using the identical friendly image for both captions satirically collapses perspective differences, turning a supposed contrast into a mirror. The meme employs humor and implicit critique rather than factual description.
[Inference]
- Mechanism: expressive_aggression. The poster's intent is to mock and expose reciprocal stereotyping, indirectly shaming both sides for hypocritical or simplistic views.",False,False
intent_6051.png,intent_4312,white men are evil... i married one to make sure,meme author,white men,political satirist,internet troll,relationship blogger,male politicians,republican voters,married men,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Intimate Relationships,General Culture,,Dominance Assertion,,"[Anchor]
- Text uses a sweeping accusation ""white men are evil... i married one to make sure."" Visual shows a white male public figure speaking at a podium with a woman standing beside him, linking the remark to a specific white husband figure.
[Pivot]
- Cross-modal mismatch: the marriage claim is ironic rather than a literal request; pairing the blanket insult with the image turns a personal confession into a public jibe that displaces the target onto a demographic.
[Inference]
- Mechanism: expressive_aggression. The covert goal is to mock and publicly shame white men using ironic marriage as the device.",False,False
attitude_4524.png,attitude_3995,when i try to be my self around people [ everyone disliked that. ],poster,people around them,lonely teen,shy friend,bystander,online followers,roommates,coworkers,Attitude,NULL,NULL,protective_distancing,protective_distancing,Online & Social Media,General Culture,,NULL,Dismissive,"[Anchor]
- Text evidence: ""everyone disliked that."" (negative). 
- Visual evidence: empty brick alley, closed metal doors and loading-dock steps, a 'No Parking' sign, no people present. 
- Cross-modal setup: the caption reports social rejection while the photo shows physical emptiness and isolation at face value.

[Pivot]
- Mechanism: protective_distancing. Trigger rule: the wording frames the speaker as rejected and resigned, which combined with an image of an isolated, closed-off space signals emotional withdrawal rather than confrontation; sub-logic used: Emotional Withdrawal. Minimal justification: the meme uses a solitary scene to amplify a decision to disengage after being disliked.

[Inference]
- Attitude label: Indifferent. Subject/target justification: the poster adopts a withdrawn, disengaged stance toward other people after perceived rejection. Domain/Culture provides no additional disambiguation.",False,False
attitude_2421.png,attitude_0484,islam is the religion of peace! if you don't agree i kill you!,meme author,Islam,troll account,social influencer,anonymous user,Christianity,Judaism,Hinduism,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,,NULL,Contemptuous,"[Anchor]
- Text evidence: ""if you don't agree i kill you!"" (literal tone: hostile). 
- Visual evidence: three smiling children, one wearing a hijab, children seated close with arms around each other, classroom-like background. 
- Cross-modal setup: the text pairs a purportedly positive claim about Islam with an explicit threat while the image shows innocent, smiling children including a visibly Muslim child.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: the violent threat plus juxtaposition with an image of innocent Muslim children frames the religion as morally objectionable and dangerous, assigning blame to the group's character (Character Blaming). This uses high-ground negation and contempt via cross-modal irony.

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: the meme author expresses contempt toward Islam by implying hypocrisy and violence. 
- Domain/Culture provides no additional disambiguation.",False,False
affection_3075.png,affection_3875,everybody having kids /getting engaged and i'm over here like,poster,friends' relationships / life milestones,follower,commenter,acquaintance,family members' relationships / life events,coworkers' relationships / promotions,classmates' graduations / weddings,Affection,affective_deception,NULL,NULL,affective_deception,Intimate Relationships,General Culture,Sad,NULL,,"[Anchor]
- Text evidence: ""everybody having kids /getting engaged"" (literal tone: neutral/observational). 
- Visual evidence: a man smiling broadly, giving a thumbs-up, wearing sunglasses and a cowboy hat, holding a beer outdoors. 
- Cross-modal setup: the caption highlights peers' relationship milestones while the image presents an upbeat, carefree pose at surface level.

[Pivot]
- Mechanism: affective_deception.
- Trigger rule: the performative, cheerful visual display contradicts the social-comparison implied by the caption, triggering a reading of masked affect.
- Minimal justification: the happy pose reads as feigned nonchalance, suggesting the opposite private feeling.

[Inference]
- Emotion label: Sad.
- Subject/target justification: the poster likely feels left out or wistful toward friends' engagements/children while pretending indifference.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
