filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
attitude_3406.png,attitude_6021,"kids, a husband, a job... living the american dream",speaker,the american dream,bored middle aged,disillusioned homemaker,cynical friend,pursuit career advancement,focus personal fulfillment,emphasis public reputation,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Family Conversations,American Culture,NULL,NULL,Dismissive,"[Anchor]
- Text evidence: ""living the american dream"" (literal tone: positive). 
- Visual evidence: woman sitting on the floor against a wardrobe, holding a cigarette; an empty wine bottle and a wine glass on the floor; shoes off beside her and a bed visible. 
- Cross-modal setup: the upbeat phrase is paired with an image of exhaustion/undone domesticity, creating surface irony.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: the speaker uses a culturally positive slogan while the image shows disillusionment, thereby invalidating the ideal; this matches the sub-logic Invalidation. Minimal justification: the verbal praise is negated by the visual evidence, asserting a superior, dismissive stance toward the norm.

[Inference]
- Attitude label: Dismissive. 
- Subject/target justification: the speaker (poster) expresses dismissal toward the notion that kids, a husband, and a job constitute the ""American dream."" 
- Domain/Culture usage: in Family Conversations and American Culture, invoking ""American dream"" names a shared ideal, so pairing it with the image works as an ironic cultural critique.",False,False
181.mp4,affection_0931,"no. no. no, no, no, i-i did not mean",glenn,the accusation,maya,tom,rita,background object,nearby item,other topic,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Workplace,General Culture,Fearful,NULL,NULL,"[Anchor]
- Text evidence: ""i-i did not mean"" (negative/defensive tone). 
- Visual evidence: male employee wearing a name tag reading ""GLENN"", tense facial expression and slightly open mouth, hand gesture in later frame, close face-to-face stance with a store employee. 
- Cross-modal setup: words deny intent while voice and body language show urgency and defensive tension.

[Pivot]
- Mechanism: affective_deception.
- Trigger rule: the speaker's denial (verbal) is paired with urgent vocal delivery and visible tension, indicating masked worry where involuntary cues leak true affect.
- Minimal justification: the modalities align to show an attempt to deny while nonverbal signals reveal anxiety.

[Inference]
- Emotion label: Fearful.
- Subject/target justification: Glenn appears worried/defensive toward being accused or misunderstood. 
- Domain/Culture usage: In a workplace setting the stakes of an accusation make a defensive, worried reaction more likely; Domain/Culture provides disambiguation.",False,False
affection_3794.png,affection_1561,that is so wrong! should wear a helmet,poster,naked cyclist,protester,bystander,photographer,shirtless runner,skateboard rider,costumed performer,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Public & Service,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""that is so wrong!"" (negative tone). Visual evidence: a naked person riding a bicycle; a blurred crowd of spectators; a nearby clothed cyclist; visible red pannier/flag on the bike. Cross-modal setup: the caption criticizes safety while the image foregrounds public nudity, so text and image emphasize different 'wrongs'.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The helmet admonition contradicts the image's more salient transgression (nudity), producing an ironic, non-literal reading. 
- Minimal justification: The mismatch reframes the complaint as sarcastic/mock concern rather than literal safety advice.

[Inference]
- Emotion label: Bad.
- Subject/target justification: The poster expresses mocking disapproval toward the naked cyclist/situation.
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
intent_8288.png,intent_2128,her : he's probably thinking about other girls... him : how do blind people know when to stop wiping their ass?,the man,his partner,bystander,coworker,shopper,other girls,blind people,toilet paper,Intent,NULL,prosocial_deception,NULL,prosocial_deception,Intimate Relationships,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- Text evidence: The woman voices relationship anxiety (""he's probably thinking about other girls"") while the man replies with an unrelated crude joke about blind people.
- Visual evidence: Photo shows a couple in bed with the woman looking concerned and the man staring away, suggesting disengagement.
[Pivot]
- Cross-modal mismatch: The humorous, off-topic reply conflicts with the expected emotional response, functioning to deflect rather than address the worry.
[Inference]
- The man’s intent is to defuse or sidestep the confrontation and preserve immediate harmony rather than engage with the concern.",False,False
affection_3611.png,affection_4584,if you're gonna screenshot a meme at least crop out the black space,poster,people screenshot memes,actor,commenter,celebrity,other person,nearby person,social media moderation,Affection,socio_cultural_dependency,NULL,NULL,socio_cultural_dependency,Online & Social Media,General Culture,Bad,NULL,NULL,"[Anchor]
- Text evidence: ""if you're gonna screenshot a meme"" (admonishing/critical tone). 
- Visual evidence: an older bald man pointing directly at the camera; a neutral-to-slight smile; standard meme top-and-bottom white Impact text overlaid. 
- Cross-modal setup: The caption scolds sloppy screenshots while the pointing, mildly smiling portrait softens the delivery into a performative call-out.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The critical instruction in text contrasts with a non-hostile, almost playful pointing gesture, forcing a non-literal, teasing read. 
- Minimal justification: The image's friendly pointing reframes the admonition as light annoyance rather than genuine hostility.

[Inference]
- Emotion label: Bad.
- Subject/target justification: The poster expresses mild annoyance toward people who post uncropped meme screenshots. 
- Domain/Culture usage: Online meme conventions make this a common, low-intensity corrective remark rather than serious anger.",False,False
intent_7157.png,intent_5019,the media calls them refugees but this is what you will get,meme creator,general public,political satirist,online activist,far right poster,news outlets,government officials,border guards,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Public & Service,General Culture,NULL,Hate Humor,NULL,"[Anchor]
- Text explicitly contrasts the neutral label ""refugees"" with the warning ""this is what you will get."" Visuals show burning tires, masked figures, and urban unrest, signaling violence.
[Pivot]
- Cross-modal reasoning: pairing a fear-inducing scene with a dismissive reference to media framing reframes displaced people as threats. The content leverages viewers' safety concerns and stereotypes rather than offering information.
[Inference]
- Mechanism: malicious_manipulation. The poster aims to provoke fear and hostility toward refugees to sway public opinion and justify exclusionary responses.",False,False
attitude_8685.png,attitude_1955,"when i was in high school i got braces a friend told me, ""you're so black, even your teeth are behind bars,""",speaker,friend,classroom peer,social media user,stand up comedian,school bully,class clown,sibling,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Education & Campus,General Culture,NULL,NULL,Skeptical,"[Anchor]
- Text evidence: ""you're so black, even your teeth are behind bars,"" (negative tone). 
- Visual evidence: seated man holding a microphone, serious/unsmiling facial expression, formal shirt and stage chairs visible. 
- Cross-modal setup: the text quotes a racist joke while the photo shows a sober, non-laughing speaker.

[Pivot]
- Mechanism: dominant_detachment.
- Trigger rule: the quoted insult operates as a dismissal of the narrator's personhood (powerful invalidation) and the solemn image refuses to normalize or laugh it off; this enacts Invalidation (the remark is presented as unacceptable rather than amusing). Minimal justification: the juxtaposition of the racist quip and the serious pose frames the speaker as morally judging the comment.

[Inference]
- Attitude label: Disapproving.
- Subject/target justification: the narrator (subject) implicitly condemns the friend's racist remark (target) by reproducing it alongside a sober image. 
- Domain/Culture provides no additional disambiguation.",False,False
513.mp4,intent_1377,it wasn't cheyenne!,the speaker,cheyenne,glenn,dina,man in wheelchair,dina,glenn,woman in scarf,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Workplace,General Culture,NULL,Moral Condemnation,NULL,"[Anchor]
- Text evidence: ""it wasn't Cheyenne!"" (neutral tone). 
- Visual evidence: central person makes a strained smile and reaching hand gesture; two colleagues at left show furrowed brows and skeptical posture; seated colleague offers a small knowing smirk; all wear matching event shirts and name tags. 
- Cross-modal setup: the verbal denial is delivered calmly while body language and others' faces show tension and doubt.

[Pivot]
- Mechanism: prosocial_deception.
- Trigger rule: neutral denial paired with masked, uncomfortable facial expressions and group skepticism indicates a protective concealment rather than an open factual correction.
- Minimal justification: the speaker appears to downplay or deny blame to shield a colleague despite visible discomfort.

[Inference]
- Emotion label: Bad.
- Subject/target justification: the speaker feels uneasy/guilty and acts to shield Cheyenne from blame. 
- Domain/Culture usage: Workplace norms favor preserving team harmony, supporting a protective coverup rather than public confrontation.",False,False
affection_6873.png,affection_5325,the double tap is a myth shoot until the threat changes shape or catches fire. only then will your enemies know true peace,poster,enemies,monk,meme,photograph,followers,trolls,viewers,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""only then will your enemies know true peace"" (literal tone: negative/hostile). 
- Visual evidence: an elderly man in a maroon robe and glasses seated in an armchair; hands raised in a gesturing pose; a calm/serene facial expression. 
- Cross-modal setup: a peaceful-looking religious-style portrait is juxtaposed with explicit violent instructions at surface level.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the pacifist visual directly contradicts violent language, producing ironic conflict that cancels a literal benign reading.
- Minimal justification: this polarity clash forces a non-literal, sarcastic framing that signals antagonistic intent.

[Inference]
- Emotion label: Angry.
- Subject/target justification: the poster conveys hostility toward ""enemies"" by endorsing violence, implying anger/hatred. 
- Domain/Culture usage: Online & Social Media meme conventions use such ironic juxtapositions to communicate aggressive sentiment.",False,False
intent_11991.png,intent_6675,congress is now stronger than ever to fight terrorism,meme creator,muslim members congress,online community moderator,campaign staffer,political strategist,background object,nearby item,other topic,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- Text evidence: The caption claims Congress is ""stronger than ever to fight terrorism."" Visual evidence: a 9/11 image sits above a photo of two female lawmakers, one wearing a hijab. Cross-modal juxtaposition links Muslim representatives to terrorism despite the surface claim of vigilance.

[Pivot]
- Mechanism: expressive_aggression. The meme uses indirect accusation and stereotype by pairing patriotic language with an image that implicates the visible minority lawmakers.

[Inference]
- The hidden goal is to vilify and discredit Muslim politicians by equating them with terrorism.",False,False
