filename,id,input_text,audio_caption,subject,target,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
affection_1444.mp4,affection_1444,"Oh-oh, that's a risky little game!","The speaker's tone is hesitant and cautious, suggesting a level of wariness or wariness about the situation being discussed. The emotional style appears to be somewhat apprehensive or concerned, indicating that the speaker is not entirely comfortable or confident with the idea being proposed. 

The background environment seems to be a setting where people are gathered, possibly for a social event or a public speaking engagement, as indicated by the presence of laughter and applause. The laughter and applause suggest that the speaker's comment is being well-received by the audience, but the speaker's tone of caution implies that the speaker may still feel unsure or hesitant about the idea being discussed.",the speaker,the risky little game,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Friendship Interaction,General Culture,Surprised,NULL,NULL,"[Anchor]
- Text evidence: ""that's a risky little game!"" (cautionary/negative).  
- Visual evidence: holds a small stick-like object; open-mouthed grimace and squinted eyes; slightly tensed shoulders/leaning.  
- Cross-modal setup: the wording warns of risk while the audio caption reports a hesitant, cautious tone and the frames show a worried facial reaction.  

[Pivot]
- Mechanism: figurative_semantics.  
- Trigger rule: the phrase 'risky little game' functions as a metaphorical source that maps onto danger/threat, and the nonverbal cues (tone + expression) reinforce that mapping.  
- Minimal justification: the verbal metaphor plus anxious vocal and facial signals together imply concern about danger rather than a literal game.  

[Inference]
- Emotion label: Fearful.  
- Subject/target justification: the speaker expresses apprehension toward the proposed/risky situation (the ""risky little game"").  
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",False,False
affection_0320.mp4,affection_0320,"i thought you were, but then they started following me around; they started searching my stuff.","The speaker's tone in the given sentence is one of disbelief and frustration, as they express their initial expectation that someone was trustworthy, only to be let down by subsequent actions that suggest betrayal or violation of trust. The emotional style can be characterized as a mix of disappointment, annoyance, and perhaps a hint of anger or frustration at the situation. The speaker's tone suggests that they are reacting to an unexpected and unwelcome development, possibly in a personal or professional relationship where they had placed their trust.

The background environment is not explicitly provided, but the context implies that the speaker is in a setting where they feel they have been closely monitored or personal items are being searched. This could be a domestic environment, an office, or any place where personal belongings are kept, suggesting a situation where privacy is being invaded or a person's actions are being closely watched. The speaker's tone and the nature of the actions described suggest that the environment might be one of tension, surveillance, or a situation where the speaker's privacy is being compromised.",the speaker (Garrett),coworkers who followed and searched his belongings,Affection,affective_deception,NULL,NULL,affective_deception,Workplace,General Culture,Fearful,NULL,NULL,"[Anchor]
- Text evidence: ""they started following me around"" (literal tone: negative/accusatory). 
- Visual evidence: man seated at a counter wearing a blue vest; palm-out defensive gesture; mouth open mid-speech; a standing colleague in foreground. 
- Cross-modal setup: the line reports actions (searching/following) while the image shows the speaker gesturing defensively during a calm-looking workplace exchange.

[Pivot]
- Mechanism: affective_deception.
- Trigger rule: the utterance is factual and does not name an emotion, but the audio caption and the speaker's defensive gesture leak frustration/anger, revealing masked affect.
- Minimal justification: the wording is neutral-reporting while vocal delivery and body language reveal underlying hostility.

[Inference]
- Emotion label: Angry.
- Subject/target justification: the speaker (Garrett) is implicitly angry at the coworkers who followed and searched his stuff. 
- Domain/Culture usage: in a workplace, invasion of privacy denotes a breach of trust, which supports interpreting the leaked affect as anger.",False,True
affection_1056.mp4,affection_1056,that's like six weeks away.,"The speaker's tone is neutral and matter-of-fact, with no particular emotional emphasis. The emotional style is calm and unemotional, indicating a lack of strong feelings or reactions. The background environment is likely a quiet and undisturbed setting, such as a library or a study room, where the speaker is able to speak clearly and without interruption.",the speaker (employee),the upcoming deadline/event (six weeks away),Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Workplace,General Culture,Fearful,NULL,NULL,"[Anchor]
- Text evidence: ""that's like six weeks away."" (neutral, matter-of-fact). 
- Visual evidence: woman leaning forward, furrowed brows and wide eyes, tense mouth and an open-handed pleading gesture. 
- Cross-modal setup: the spoken line is temporally neutral while the face/body show worry and urgency.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the neutral verbal timestamp conflicts with anxious nonverbal cues, forcing a nonliteral inference of concern. 
- Minimal justification: because voice is calm but posture and expression signal worry, the affect comes from their mismatch.

[Inference]
- Emotion label: Fearful.
- Subject/target justification: the speaker appears worried about the approaching date/deadline (the thing six weeks away). 
- Domain/Culture usage: in a workplace context, a six-week timeline plausibly implies a deadline, which supports interpreting the nonverbal worry as anxiety about the upcoming event.",False,True
attitude_1510.mp4,attitude_1510,"That's got to be fun for you, huh? Watching Hofstadter suck the saliva out of your sister's mouth?","The speaker's tone in this audio excerpt is sarcastic and mocking. The emotional style is sharply critical, intended to express contempt or derision towards the subject of the speaker's comment. The speaker appears to be addressing a group of people in a humorous yet inflammatory manner, using a tone that suggests a lack of respect and a readiness to provoke a reaction.

The background environment is likely a social or entertainment setting, such as a comedy club, a talk show, or a live performance where the speaker is engaging directly with an audience. The setting is designed to elicit reactions, adding to the comedic effect or the speaker's intent to provoke a strong emotional response. The presence of laughter and applause from the audience further indicates that the speaker is performing in a context where humor and audience engagement are central, rather than a serious or formal discussion.",the speaker,the addressee / Hofstadter,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Friends & Roommates,General Culture,Happy,NULL,NULL,"[Anchor]
- Text evidence: ""Watching Hofstadter suck the saliva out of""; literal tone: negative/sarcastic. 
- Visual evidence: two people embracing/kissing on the left foreground; two seated people observing; living-room/apartment set. 
- Cross-modal setup: the utterance verbally frames the on-screen affectionate contact as grotesque, while the image shows a mundane kiss.
[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: cross-modal tension between an affectionate visual and a contemptuous, mocking verbal line activates moralizing high-ground and Character Blaming; the speaker’s wording asserts superiority and derision. Minimal justification: the sarcasm targets the viewer for enjoying the kiss while framing it as disgusting.
[Inference]
- Attitude label: Disgusted.
- Subject/target justification: the speaker expresses disgust toward the addressee’s reaction and Hofstadter’s action. 
- Domain/Culture usage: in a Friends & Roommates comedic context this reads as mocking contempt rather than literal concern.",False,False
affection_0568.mp4,affection_0568,i haven't even been able to go on instagram.,"The speaker's tone in the given audio is likely to be one of disappointment or frustration. The statement ""hasn't even been able to go on Instagram"" suggests that the speaker is talking about someone or something that has been unable to access or use Instagram, a social media platform. The tone might be tinged with disappointment, as it implies that access to this platform is expected or desired, but has not been achieved.

In terms of emotional style, the speaker may exhibit a range of emotions depending on the context. If the inability to access Instagram is due to technical issues, the speaker might express concern or urgency. If it's due to a lack of interest or creativity, the tone could be light-hearted or even humorous. However, without additional context, it's difficult to pinpoint the exact emotional style.

The background environment is not explicitly described in the audio, but typically, someone discussing Instagram might be in a casual setting such as a home, office, or café. The environment could be busy or quiet, depending on the speaker's surroundings. If the speaker is in a public or crowded space, the tone might be more subdued to avoid distractions. Conversely, in a quiet or private setting, the tone could be more open and expressive. 

In summary, the speaker's tone is likely one of disappointment or frustration, with a potential emotional style that could vary from concern or urgency to light-heartedness or humor. The background environment is not explicitly detailed, but it could range from a busy, public space to a quiet, private setting.",Cheyenne (the speaker),Instagram / being unable to access Instagram,Affection,affective_deception,NULL,NULL,affective_deception,Workplace,General Culture,Sad,NULL,NULL,"[Anchor]
- Text evidence: ""haven't even been able to go on instagram"" (literal tone: factual/negative). 
- Visual evidence: widened eyes, raised eyebrows, slightly open mouth, hand holding a payment device/gesturing. 
- Cross-modal setup: the sentence states an inability without naming an emotion while the speaker's voice and face display visible disappointment.

[Pivot]
- Mechanism: affective_deception.
- Trigger rule: a neutral factual line is paired with vocal and facial leakage that reveal an underlying disappointed feeling; the nonverbal cues expose affect not in the text.
- Minimal justification: the words report a problem, the delivery betrays an emotional response.

[Inference]
- Emotion label: Sad.
- Subject/target justification: Cheyenne appears disappointed at being unable to use Instagram (the situation is the target). 
- Domain/Culture provides no additional disambiguation.",False,True
affection_1493.mp4,affection_1493,"Yeah, she couldn't live without the Chan Love.","The speaker's tone is casual and conversational, with a hint of surprise or contemplation. The use of ""yeah"" and the slightly hesitant tone suggest a casual, informal setting. There is a subtle emotional undertone of curiosity or mild amusement, possibly indicating that the speaker is reacting to a humorous or unexpected situation.

The background environment appears to be a social or public setting, likely a comedy club or a similar venue. The presence of laughter and music indicates a lively and entertaining atmosphere, with the audience engaged and responsive to the speaker's words. The background noise and the sound of applause suggest a well-attended event, possibly with a live audience present.",She (the woman hugging),Chandler (the man),Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Intimate Relationships,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""she couldn't live without the Chan Love."" (literal tone: positive/playful). 
- Visual evidence: woman embraces the man; close body contact around his waist and neck; a nearby woman smiles while watching. 
- Cross-modal setup: the utterance makes a metaphorical claim of dependence while the frames show affectionate physical contact between the named people.

[Pivot]
- Mechanism: figurative_semantics.
- Trigger rule: the phrase ""Chan Love"" is metaphorical for romantic affection and the visual embrace maps that source domain (physical closeness) onto the target affect (romantic warmth). Minimal justification: the metaphor in text combined with confirming affectionate touch in the images yields an implicit affectionate meaning.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the woman ('she') is portrayed as emotionally attached to Chandler (the man), indicated by the claim and their embrace. 
- Domain/Culture usage: the Intimate Relationships domain clarifies a romantic/affiliative reading; General Culture adds no further special codes.",False,False
affection_1379.mp4,affection_1379,"When? Today? Some, not a lot.","The speaker's tone is casual and conversational, suggesting a relaxed and informal environment. The speaker uses a neutral and slightly hesitant tone, indicating a level of uncertainty or mild surprise. This can be inferred from the slight pause and the choice of words like ""what"" and ""not a lot,"" which convey a sense of mild disbelief or acknowledgment of a situation that is not as significant as it might have been expected.

The emotional style of the speaker is understated and composed. There is no strong emotional expression, suggesting that the speaker is either accustomed to这样的 situations or is trying to maintain a level-headed demeanor. The laughter, which is light and not overwhelmingly loud, further supports this interpretation, indicating that the speaker is not overly distressed or excited about the situation.

The background environment appears to be a social setting, likely a gathering or a public space where people are present and engaged in casual conversation. The presence of laughter and the informal tone of the dialogue suggest a friendly and welcoming atmosphere. The speaker's choice of words and delivery style indicates that he is familiar with such settings and is comfortable in his role, whether it be a host, a speaker, or a participant in the conversation.",the speaker,the interlocutor,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Friendship,General Culture,Happy,NULL,NULL,"[Anchor]
- Text evidence: ""When? Today? Some, not a lot."" (neutral/hesitant tone). 
- Visual evidence: beanie and casual jersey contrasted with suited interlocutor; pursed/rounded mouth across frames; slightly bowed head and lowered eyes. 
- Cross-modal setup: the words downplay the situation while the face/body cue a resigned-but-playful reaction in a social scene.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the understated verbal reply conflicts with playful, self-deprecating facial/body cues, forcing a non-literal, affiliative reading.
- Minimal justification: the contradiction reframes the utterance as light teasing/affection rather than literal neutral information.

[Inference]
- Emotion label: Happy.
- Subject/target justification: the speaker expresses mild amusement/affection toward the interlocutor through teasing understatement and playful expression. 
- Domain/Culture usage: In a friendship setting this verbal minimization plus a comical face commonly signals friendly teasing rather than serious emotion.",False,False
attitude_1634.mp4,attitude_1634,Oh no donÕt go. I have scared you. I have said too much. I am hopeless and awkward and desperate for love.,"The speaker's tone is apologetic and somewhat sheepish, suggesting a person who is aware of having said something unexpected or possibly inappropriate. The emotional style is characterized by a mix of vulnerability and self-deprecation, implying that the speaker feels exposed or embarrassed about the situation. They appear to be addressing someone they consider close, possibly a friend or someone they care about, as the use of the word ""Ilko"" suggests familiarity.

The background environment seems to be a social setting, likely a public or semi-public space where the speaker is aware of their audience's reactions, as indicated by the laughter and applause that follow. The emotional state is perceived as humorous or relatable, and the applause implies that the audience finds the speaker's self-deprecating tone amusing or endearing. The setting could be a comedy club, a social gathering, or a similar venue where people are expected to engage with the speaker's comments in a light-hearted manner.",speaker,addressee,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Intimate Relationships,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""I am hopeless and awkward and desperate for love."" literal tone: negative/vulnerable. 
- Visual evidence: man reaching an arm outward; speaker facing a doorway; a person standing in the doorway; indoor domestic setting (kitchen table visible). 
- Cross-modal setup: the words are self-deprecating/apologetic while the image shows a physical attempt to keep someone from leaving.

[Pivot]
- Mechanism: socio_cultural_dependency.
- Trigger rule: The speaker uses self-lowering language to elicit care (power-positioning via self-diminishment) while the gesture to stop the other creates a dependence-seeking act; sub-logic: Self-Diminishment. Minimal justification: verbal vulnerability plus reaching gesture jointly signal pleading/dependence rather than neutral description.

[Inference]
- Attitude label: Sad. 
- Subject/target justification: The speaker (subject) expresses lowered self-worth toward the other person (target) to retain closeness. 
- Domain/Culture provides no additional disambiguation.",False,False
affection_0066.mp4,affection_0066,yes!,"The speaker's tone is filled with excitement and joy, likely characterized by raised pitch and quick, enthusiastic speech. Emotional style is very positive and elated, indicating a strong sense of happiness or triumph. The background environment could be a celebratory or festive setting, such as a party, a sports victory, or an achievement being announced publicly. The overall atmosphere suggests a moment of high energy and happiness, with the speaker possibly surrounded by others who are also celebrating.",Dina (the speaker),coworker (woman facing Dina),Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Workplace,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""yes!"" (literal tone: positive/excited). 
- Visual evidence: closed eyes with open mouth in early frames, hand braced on counter, later furrowed brow and tightened mouth. 
- Cross-modal setup: the vocal/text signal is elated, while the speaker's facial/body cues shift toward tension and irritation.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: positive exclamation contrasts with later negative facial and postural cues, creating a polarity conflict between modalities.
- Minimal justification: the clash forces a non-literal reading where the upbeat utterance masks annoyance.

[Inference]
- Emotion label: Angry.
- Subject/target justification: Dina appears implicitly annoyed/angry toward the woman she is addressing. 
- Domain/Culture usage: workplace norms often produce restrained, indirect displays of exasperation, supporting an anger interpretation.",False,True
affection_1069.mp4,affection_1069,what? i crushed the interview.,"It seems like the speaker is expressing a mix of surprise and disappointment, likely due to the outcome of an interview. The tone of the statement suggests that the speaker did not expect the negative result and is feeling let down or frustrated. The emotional style can be described as a sense of shock or disbelief, coupled with a hint of regret or annoyance. The background environment is not provided in the statement, so it's not possible to describe any specific details about the surroundings.",the speaker (man),the interview/result,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Workplace,General Culture,Surprised,NULL,NULL,"[Anchor]
- Text evidence: ""i crushed the interview."" — literal tone: positive/assertive (claiming success).
- Visual evidence: leaning back in chair; open mouth mid-speech; palms-up gesture in later frame; slightly squinted eyes.
- Cross-modal setup: The verbal claim of success sits alongside vocal and body-language cues of surprise/disappointment.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The spoken claim of success is contradicted by audio-captioned disappointment and nonverbal cues, producing an ironic/nonliteral reading.
- Minimal justification: The conflict forces interpretation that the speaker is actually surprised/let down, not proud.

[Inference]
- Emotion label: Sad.
- Subject/target justification: The speaker (man) is implicitly disappointed about the interview outcome.
- Domain/Culture usage: Workplace interview context supports reading this as disappointment about a job/interview result.",False,False
