filename,id,input_text,subject,target,subject1,subject2,subject3,target1,target2,target3,situation,mechanism_Affection,mechanism_Intent,mechanism_Attitude,mechanism,domain,culture,label_Affection,label_Intent,label_Attitude,rationale,skipped,abandon
attitude_9001.png,attitude_5709,a talking ape,uploader,woman in image,provocative commenter,content aggregator,columnist,public figure,event holder,celebrity guest,Attitude,NULL,NULL,dominant_detachment,dominant_detachment,Online & Social Media,General Culture,NULL,NULL,Contemptuous,"[Anchor]
- Text evidence: ""a talking ape"" (negative tone). 
- Visual evidence: frontal photo of a woman holding a microphone; serious/neutral facial expression with mouth slightly open; wearing a dark formal dress seated on a chair. 
- Cross-modal setup: The short derogatory caption is directly applied to the pictured speaker, pairing an insulting label with the portrait.

[Pivot]
- Mechanism: dominant_detachment. 
- Trigger rule: The caption uses a dehumanizing label to delegitimize and place the poster above the target, applied to a public speaker in the photo; this is Character Blaming (reducing a person to an animal) and shows moral/intellectual dismissal.

[Inference]
- Attitude label: Contemptuous. 
- Subject/target justification: The uploader expresses contempt toward the woman in the photo by dehumanizing her. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
attitude_3897.png,attitude_2975,once you are in my pack i will always have your back,poster,viewer,alpha,promoter,moderator,the wolf,close friend,supportive colleague,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Online & Social Media,General Culture,NULL,NULL,Supportive,"[Anchor]
- Text evidence: ""i will always have your back"" (literal tone: positive). 
- Visual evidence: snarling wolf with bared teeth; forward-leaning body; visible open mouth/teeth. 
- Cross-modal setup: The verbal promise of loyalty sits atop an aggressive, dominant animal image.

[Pivot]
- Mechanism: dominant_affiliation. 
- Trigger rule: The phrasing ""once you are in my pack"" conditions belonging on the speaker's terms, granting protection as a favor while the wolf's aggression signals the speaker's power; this is an instance of Benevolent Control. Minimal justification: the speaker offers support from a superior, gatekeeping position rather than equal solidarity.

[Inference]
- Attitude label: Supportive. 
- Subject/target justification: The poster expresses committed loyalty toward someone who joins their group. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
intent_6816.png,intent_5722,when the muslim pulls out a bomb from his bag it's so fucking big,meme poster,Muslims,political commentator,stand-up comedian,tabloid journalist,terrorists,immigrants,refugees,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Humiliation for Amusement,NULL,"[Anchor]
- Text evidence: The caption explicitly links ""muslim"" with a ""bomb"" using profanity and a generalized construction that treats a whole group as violent. 
- Visual evidence: The shocked vintage woman's face and classic meme layout frame the line as a punchline rather than a factual report. 
- Cross-modal setup: The image's exaggerated surprise plus the provocative caption turns a stereotype into ridicule.
[Pivot]
- Mechanism: expressive_aggression; the post uses humor and shock to attack and stigmatize a protected group.
[Inference]
- Intent: The poster aims to dehumanize and spread prejudice against Muslims online, i.e., promote islamophobia.",FALSE,FALSE
affection_7721.png,affection_0697,when you realize tomorrow is monday,poster,Monday,photographer,actor,stranger,tomorrow,today,tuesday,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Online & Social Media,General Culture,Bad,NULL,NULL,"[Anchor]
- Text evidence: ""when you realize tomorrow is monday"" (negative tone). 
- Visual evidence: two men close together; contorted faces with eyes closed and open mouths; one hand on the other's shoulder. 
- Cross-modal setup: the caption is a mundane lament about Monday while the photo shows an extreme, dramatic reaction.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the ordinary, mildly negative caption conflicts with an exaggerated emotional image, forcing an ironic/overstated reading. 
- Minimal justification: the photo reframes the caption as hyperbolic despair rather than literal crisis.

[Inference]
- Emotion label: Bad.
- Subject/target justification: the poster expresses low-intensity dread/discomfort about the upcoming Monday. 
- Domain/Culture: internet meme conventions turn the mismatch into humorous, exaggerated commiseration rather than sincere trauma.",FALSE,FALSE
affection_8972.png,affection_0241,lazy day nothing to steal,poster,impoverished child,photographer,journalist,tourist,market vendor,aid volunteer,tourist family,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: the phrase ""lazy day nothing to steal"" (literal tone: flippant/neutral). 
- Visual evidence: a young child standing with a serious/frowning expression; thatched huts and dirt ground; a rough wooden fence in the foreground. 
- Cross-modal setup: the jokey caption about theft sits atop a solemn image of a child in an impoverished setting, creating a surface mismatch.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: the humorous, dismissive text conflicts with the gravity of the visual, producing a sarcastic/derisive reading rather than a literal one.
- Minimal justification: the scene makes a literal joke about ""nothing to steal"" morally fraught, so the caption must be read as hostile sarcasm.

[Inference]
- Emotion label: Angry.
- Subject/target justification: the poster is expressing a derisive/hostile attitude toward the depicted child's situation (or toward poverty as depicted). 
- Domain/Culture usage: Domain/Culture provides no additional disambiguation.",FALSE,FALSE
affection_10986.png,affection_2364,who let the monkeys out?! we don't know,poster,the monkeys,photograph,meme,caption,noisy tourists,bustling street market,rowdy schoolchildren,Affection,multimodal_incongruity,NULL,NULL,multimodal_incongruity,Online & Social Media,General Culture,Fearful,NULL,NULL,"[Anchor]
- Text evidence: ""who let the monkeys out?!"" (playful/exclamatory). 
- Visual evidence: many monkeys perched on and around parked cars; monkeys climbing on hoods and roofs; cars lined along a street. 
- Cross-modal setup: The caption playfully comments on the pictured swarm of monkeys, matching image content at surface level.

[Pivot]
- Mechanism: socio_cultural_dependency.
- Trigger rule: The humor depends on recognizing the caption as a riff on a popular song/meme, turning a literal animal scene into a joke. 
- Minimal justification: Without that cultural cue the line is literal; with it the pair reads as playful humor.

[Inference]
- Emotion label: Happy.
- Subject/target justification: The poster expresses amusement toward the chaotic monkey scene. 
- Domain/Culture usage: Online meme culture disambiguates the caption as a humorous pun rather than a factual question.",FALSE,FALSE
262.mp4,attitude_0691,"oh, listen, you--you do not have to worry about that, okay?",the speaker,the listener,a delivery driver,a passerby,a customer,a passerby,a customer,a supplier representative,Attitude,NULL,NULL,dominant_affiliation,dominant_affiliation,Workplace,General Culture,NULL,NULL,Indifferent,"[Anchor]
- Text evidence: ""you do not have to worry about that"" (reassuring/positive tone). 
- Visual evidence: speaker wearing store vest, facing a coworker; open-palmed, calming hand gestures; coworker seen listening with back to camera. 
- Cross-modal setup: the verbal reassurance aligns with visible placating gestures and a workplace setting.

[Pivot]
- Mechanism: dominant_affiliation.
- Trigger rule: the speaker asserts control by relieving the listener of concern and offering to handle it, using warmth to grant (from above) care; this is Benevolent Control. Minimal justification: the wording removes the listener's burden while the gestures signal taking responsibility.

[Inference]
- Attitude label: Supportive. 
- Subject/target justification: the speaker (store employee) directs reassurance toward the coworker, implicitly positioning himself as the one who will handle the issue. 
- Domain/Culture provides no additional disambiguation.",FALSE,FALSE
affection_7106.png,affection_3700,see here's your mistake you added a fuck that i didnt give,poster,person being corrected,teacher,student,observer,the pointing teacher,a passive observer,an angry commenter,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Education & Campus,General Culture,Angry,NULL,NULL,"[Anchor]
- Text evidence: ""you added a fuck that i didnt give"" (negative, dismissive tone).
- Visual evidence: a male instructor pointing at a chalkboard with equations; a student standing beside him attentively; classroom setting with written work on the board.
- Cross-modal setup: The profane, mocking caption clashes with an otherwise earnest classroom correction scene.

[Pivot]
- Mechanism: multimodal_incongruity.
- Trigger rule: The formal instructional image and the caption's sarcastic dismissal create a polarity conflict that forces a nonliteral, contemptuous reading.
- Minimal justification: The serious teaching pose cannot credibly align with the profane indifference of the text, so the caption conveys scorn.

[Inference]
- Emotion label: Angry.
- Subject/target justification: The poster expresses irritation/derision directed at the person being corrected.
- Domain/Culture usage: The Education/Campus context heightens the clash between expected classroom seriousness and the caption's contempt.",FALSE,FALSE
intent_4315.png,intent_7121,not a runner? now you are,meme poster,viewer,park ranger,wildlife photographer,motivational coach,hiker,bear,novice,Intent,NULL,expressive_aggression,NULL,expressive_aggression,Online & Social Media,General Culture,NULL,Meme-based Mockery,NULL,"[Anchor]
- Text: the caption ""not a runner? now you are"" reads like a taunt; Visual: a large brown bear is running directly toward the camera across shallow water. The pairing frames a humorous surface line with an immediate predator threat. 
[Pivot]
- Cross-modal reasoning: the joke functions as an implied coercion—rather than offering help it simulates imminent danger to provoke flight; the apparent playfulness masks an aggressive act of scaring the audience.
[Inference]
- Mechanism: expressive_aggression; hidden intent is to intimidate the viewer into fear or flight.",FALSE,FALSE
affection_5764.png,affection_5389,at the isis strip club meanwhile,poster,Arab men,photographer,farmer,bystander,sheep,nearby villagers,refugees,Affection,figurative_semantics,NULL,NULL,figurative_semantics,Online & Social Media,Arab Culture,Disgusted,NULL,NULL,"[Anchor]
- Text evidence: ""at the isis strip club"" (literal tone: derogatory/negative). 
- Visual evidence: top image shows several sheep rear ends; bottom shows three men wearing white headwraps and robes with excited/surprised facial expressions (open mouth, wide eyes). 
- Cross-modal setup: the caption names a sexualized scene while the two images juxtapose animal bodies and the men's excited faces.

[Pivot]
- Mechanism: figurative_semantics.
- Trigger rule: the meme uses a source→target metaphor (animal rear ends → people) that transfers an aversive, dehumanizing attitude onto the named group.
- Minimal justification: pairing animal imagery with the group's excited reactions conveys contempt indirectly through metaphor rather than explicit emotion words.

[Inference]
- Emotion label: Disgusted.
- Subject/target justification: the poster expresses disgust/derogation toward ISIS/Arab men by equating them with animals.
- Domain/Culture usage: the Online & Social Media context and the specified culture clarify the intended target and amplify the derogatory reading.",FALSE,FALSE
